name,id,top_kpop,genre,followers
 JeHwi,269A1U75KOCFyPAiXq4sjT,0,[],11565
Pentatonix,26AHtbjWKiwYzsoGoUZq53,0,"['a cappella', 'viral pop']",3583498
 Blinders,26JVnujQQ3lEML8t9p3X1J,0,"['dutch house', 'louisville underground', 'progressive electro house', 'sky room']",39093
Halsey,26VFTg2z8YR0cCuwLzESi2,0,"['electropop', 'etherpop', 'indie poptimism', 'pop']",20133665
 VIC MENSA,27w1NoOLMX7tJMYqcetPyG,0,"['canadian hip hop', 'chicago rap', 'conscious hip hop', 'rap', 'underground hip hop']",607196
 ZHU,28j8lBWDdDSHSSt5oPlsX2,0,"['edm', 'electro house', 'tropical house']",827923
 HRVY,28y6CyJNkGNjJQKrlx4AmN,0,['pop'],1659970
 HALO,295glUeBYb1uqpNrSeYs1d,0,['k-pop boy group'],42707
 GroovyRoom,29HqjVbJr3vsc2l6BTI4eB,0,"['k-rap', 'korean r&b']",132104
 Lionclad,2AGxU7q0xWss9jkiTPmxH7,0,['korean electronic'],3685
 2LSON,2AMTVJeuaSJHOatQS448YY,0,['korean pop'],2134
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,1,"['k-pop', 'k-pop girl group']",5694888
 Fox Stevenson,2BQWHuvxG4kMYnfghdaCIy,0,"['dancefloor dnb', 'electro house']",212680
 Youngbae,2C1SxKeWmKCAiTqSxvP6BI,0,[],144
 Juvie Train,2CEVA02kVlfCD2ASpvadw4,0,[],155
 Naoko Tanaka,2CfxaAgevavjDFRRghjSVt,0,[],175
 Ri Won,2CkiqYnM6fBO2y13a1FFpO,0,[],7
Ulala Session,2EFJSNZzGSfLXMfAaxbK2A,0,[],3719
Eric Nam,2FLqlgckDKdmpBrvLAT5BM,1,['k-pop'],2115017
 Punch,2FgZrgTMX6Sk0VNcOsEPmm,0,[],301148
Brown Eyed Girls,2GEPtT5RDxrmdi0A4mbDi7,1,"['k-pop', 'k-pop girl group']",257345
Untouchable,2HDRkPTO5A59sFcC2ROGbw,1,['k-rap'],7477
 Rich Brian,2IDLDx25HU1nQMKde4n61a,0,['indonesian hip hop'],2157153
